"scientific_name","family","gbif_records"
"Pycnonotus sinensis (Gmelin, 1789)","Pycnonotidae","6047"
"Spilopelia chinensis (Scopoli, 1786)","Columbidae","5532"
"Turdus mandarinus Bonaparte, 1850","Turdidae","5183"
"Passer montanus (Linnaeus, 1758)","Passeridae","4632"
"Lanius schach Linnaeus, 1758","Laniidae","4264"
"Parus minor Temminck & Schlegel, 1848","Paridae","3375"
"Motacilla alba Linnaeus, 1758","Motacillidae","3363"
"Egretta garzetta (Linnaeus, 1766)","Ardeidae","3131"
"Nycticorax nycticorax (Linnaeus, 1758)","Ardeidae","2780"
"Cyanopica cyanus (Pallas, 1776)","Corvidae","2630"
"Tachybaptus ruficollis (Pallas, 1764)","Podicipedidae","2491"
"Eophona migratoria Hartert, 1903","Fringillidae","2216"
"Acridotheres cristatellus (Linnaeus, 1758)","Sturnidae","2179"
"Gallinula chloropus (Linnaeus, 1758)","Rallidae","2119"
"Copsychus saularis (Linnaeus, 1758)","Muscicapidae","2091"
"Pica serica Gould, 1845","Corvidae","2020"
"Sinosuthora webbiana (Gould, 1852)","Sylviidae","1967"
"Phoenicurus auroreus (Pallas, 1776)","Muscicapidae","1737"
"Tarsiger cyanurus (Pallas, 1773)","Muscicapidae","1590"
"Turdus pallidus Gmelin, 1789","Turdidae","1558"
"Spodiopsar cineraceus (Temminck, 1835)","Sturnidae","1336"
"Alcedo atthis (Linnaeus, 1758)","Alcedinidae","1261"
"Phylloscopus proregulus (Pallas, 1811)","Phylloscopidae","1237"
"Emberiza spodocephala Pallas, 1776","Emberizidae","1162"
"Hirundo rustica Linnaeus, 1758","Hirundinidae","1155"
"Anthus hodgsoni Richmond, 1907","Motacillidae","1128"
"Columba livia J.F.Gmelin, 1789","Columbidae","1071"
"Spodiopsar sericeus (Gmelin, 1789)","Sturnidae","1051"
"Zosterops simplex Swinhoe, 1861","Zosteropidae","1018"
"Ardea cinerea Linnaeus, 1758","Ardeidae","989"
"Upupa epops Linnaeus, 1758","Upupidae","927"
"Turdus hortulorum P.L.Sclater, 1863","Turdidae","922"
"Streptopelia orientalis (Latham, 1790)","Columbidae","916"
"Phylloscopus inornatus (Blyth, 1842)","Phylloscopidae","863"
"Turdus eunomus Temminck, 1831","Turdidae","824"
"Chloris sinica (Linnaeus, 1766)","Fringillidae","744"
"Fulica atra Linnaeus, 1758","Rallidae","635"
"Zoothera aurea (Holandre, 1825)","Turdidae","549"
"Lonchura striata (Linnaeus, 1766)","Estrildidae","544"
"Prinia inornata Sykes, 1832","Cisticolidae","536"
"Anas zonorhyncha Swinhoe, 1866","Anatidae","521"
"Falco tinnunculus Linnaeus, 1758","Falconidae","511"
"Amaurornis phoenicurus (Pennant, 1769)","Rallidae","504"
"Spinus spinus (Linnaeus, 1758)","Fringillidae","500"
"Ardeola bacchus (Bonaparte, 1855)","Ardeidae","485"
"Ardea alba Linnaeus, 1758","Ardeidae","477"
"Muscicapa dauurica Pallas, 1811","Muscicapidae","474"
"Emberiza elegans Temminck, 1836","Emberizidae","461"
"Larus argentatus Pontoppidan, 1763","Laridae","437"
"Fringilla montifringilla Linnaeus, 1758","Fringillidae","424"
"Actitis hypoleucos (Linnaeus, 1758)","Scolopacidae","414"
"Emberiza tristrami Swinhoe, 1870","Emberizidae","402"
"Ficedula mugimaki (Temminck, 1836)","Muscicapidae","399"
"Phasianus colchicus Linnaeus, 1758","Phasianidae","397"
"Bubulcus ibis (Linnaeus, 1758)","Ardeidae","376"
"Anas platyrhynchos Linnaeus, 1758","Anatidae","343"
"Aegithalos concinnus (Gould, 1855)","Aegithalidae","341"
"Turdus obscurus Gmelin, 1789","Turdidae","333"
"Motacilla cinerea Tunstall, 1771","Motacillidae","313"
"Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocoracidae","313"
"Accipiter trivirgatus (Temminck, 1824)","Accipitridae","302"
"Tringa nebularia (Gunnerus, 1767)","Scolopacidae","296"
"Phylloscopus coronatus (Temminck & Schlegel, 1847)","Phylloscopidae","286"
"Gallinago gallinago (Linnaeus, 1758)","Scolopacidae","284"
"Periparus venustulus (Swinhoe, 1870)","Paridae","280"
"Anas crecca Linnaeus, 1758","Anatidae","279"
"Buteo japonicus Temminck & Schlegel, 1844","Accipitridae","270"
"Motacilla tschutschensis Gmelin, 1789","Motacillidae","263"
"Tringa ochropus Linnaeus, 1758","Scolopacidae","263"
"Regulus regulus (Linnaeus, 1758)","Regulidae","261"
"Turdus naumanni Temminck, 1820","Turdidae","254"
"Muscicapa griseisticta (Swinhoe, 1861)","Muscicapidae","251"
"Lanius cristatus Linnaeus, 1758","Laniidae","248"
"Cyanoptila cyanomelana (Temminck, 1829)","Muscicapidae","238"
"Dendrocopos major (Linnaeus, 1758)","Picidae","236"
"Horornis canturians (Swinhoe, 1860)","Cettiidae","229"
"Chroicocephalus ridibundus (Linnaeus, 1766)","Laridae","224"
"Ardea intermedia Wagler, 1829","Ardeidae","218"
"Falco peregrinus Tunstall, 1771","Falconidae","212"
"Gracupica nigricollis (Paykull, 1807)","Sturnidae","208"
"Tringa erythropus (Pallas, 1764)","Scolopacidae","204"
"Phylloscopus borealis (J.H.Blasius, 1858)","Phylloscopidae","198"
"Emberiza pusilla Pallas, 1776","Emberizidae","198"
"Cisticola juncidis (Rafinesque, 1810)","Cisticolidae","194"
"Monticola solitarius (Linnaeus, 1758)","Muscicapidae","193"
"Emberiza rustica Pallas, 1776","Emberizidae","189"
"Remiz consobrinus (Swinhoe, 1870)","Remizidae","189"
"Anthus rubescens (Tunstall, 1771)","Motacillidae","188"
"Cuculus micropterus Gould, 1838","Cuculidae","180"
"Calamornis Gould, 1874",NULL,"179"
"Charadrius alexandrinus Linnaeus, 1758","Charadriidae","179"
"Emberiza chrysophrys Pallas, 1776","Emberizidae","174"
"Oriolus chinensis Linnaeus, 1766","Oriolidae","168"
"Mareca falcata (Georgi, 1775)","Anatidae","168"
"Horornis fortipes Hodgson, 1845","Cettiidae","167"
"Muscicapa sibirica Gmelin, 1789","Muscicapidae","161"
"Podiceps cristatus (Linnaeus, 1758)","Podicipedidae","159"
"Parus minor minor","Paridae","155"
"Lonchura punctulata (Linnaeus, 1758)","Estrildidae","154"
"Vanellus vanellus (Linnaeus, 1758)","Charadriidae","152"
"Aegithalos glaucogularis (Moore, 1855)","Aegithalidae","151"
"Turdus cardis Temminck, 1831","Turdidae","150"
"Spatula clypeata (Linnaeus, 1758)","Anatidae","150"
"Mareca strepera (Linnaeus, 1758)","Anatidae","149"
"Alauda gulgula Franklin, 1831","Alaudidae","145"
"Ixobrychus sinensis (Gmelin, 1789)","Ardeidae","144"
"Phylloscopus tenellipes Swinhoe, 1860","Phylloscopidae","143"
"Calidris alpina (Linnaeus, 1758)","Scolopacidae","143"
"Pterorhinus perspicillatus (J.F.Gmelin, 1789)","Leiothrichidae","142"
"Charadrius dubius Scopoli, 1786","Charadriidae","141"
"Saxicola stejnegeri (Parrot, 1908)","Muscicapidae","140"
"Cecropis daurica (Laxmann, 1769)","Hirundinidae","136"
"Tringa glareola Linnaeus, 1758","Scolopacidae","134"
"Platalea leucorodia Linnaeus, 1758","Threskiornithidae","132"
"Circus spilonotus Kaup, 1847","Accipitridae","130"
"Himantopus himantopus (Linnaeus, 1758)","Recurvirostridae","129"
"Emberiza cioides J.F.Brandt, 1843","Emberizidae","128"
"Eurystomus orientalis (Linnaeus, 1766)","Coraciidae","126"
"Larvivora sibilans Swinhoe, 1863","Muscicapidae","125"
"Aythya ferina (Linnaeus, 1758)","Anatidae","124"
"Aix galericulata (Linnaeus, 1758)","Anatidae","124"
"Ficedula zanthopygia (Hay, 1845)","Muscicapidae","123"
"Emberiza pallasi (Cabanis, 1851)","Emberizidae","122"
"Acrocephalus orientalis (Temminck & Schlegel, 1847)","Acrocephalidae","117"
